product,product_page,platform,marketplace_url
BL Social Icons Bar for Wix & Ecwid,https://backlip.com/product/bl-social-icons-bar/,Ecwid,https://www.ecwid.com/apps/featured/bl-social-icons
BL WhatsApp Button for Wix & Ecwid,https://backlip.com/product/bl-whatsapp-button/,Wix,https://www.wix.com/app-market/web-solution/bl-whatsapp-button
BL WhatsApp Button for Wix & Ecwid,https://backlip.com/product/bl-whatsapp-button/,Ecwid,https://www.ecwid.com/apps/new/bl-whatsapp-button-prod
BL Before & After Slider for Shopify & Wix,https://backlip.com/product/bl-before-and-after/,Shopify,https://apps.shopify.com/bl-before-and-after
BL Before & After Slider for Shopify & Wix,https://backlip.com/product/bl-before-and-after/,Wix,https://www.wix.com/app-market/bl-before-and-after
BL Logo Showcase for Shopify & Wix,https://backlip.com/product/bl-logo-showcase/,Shopify,https://apps.shopify.com/bl-logo-showcase
BL Logo Showcase for Shopify & Wix,https://backlip.com/product/bl-logo-showcase/,Wix,https://www.wix.com/app-market/bl-logo-showcase
BL Custom HTML CSS JS Liquid for Shopify,https://backlip.com/product/bl-custom-html-css-js-liquid-bl-custom-html-css-js-liquid/,Shopify,https://apps.shopify.com/bl-custom-html-css-js-liquid
"BL Age Verification Popup for Shopify, Wix, Ecwid & Cafe24",https://backlip.com/product/bl-age-verification/,Shopify,https://apps.shopify.com/bl-age-verification
"BL Age Verification Popup for Shopify, Wix, Ecwid & Cafe24",https://backlip.com/product/bl-age-verification/,Wix,https://www.wix.com/app-market/web-solution/bl-age-verification-18-21
"BL Age Verification Popup for Shopify, Wix, Ecwid & Cafe24",https://backlip.com/product/bl-age-verification/,Ecwid,https://www.ecwid.com/apps/new/bl-age-verification
"BL Age Verification Popup for Shopify, Wix, Ecwid & Cafe24",https://backlip.com/product/bl-age-verification/,Cafe24,https://store.cafe24.com/ph/apps/35800
"BL Content Protection for Shopify, Wix, Ecwid & Nuvemshop",https://backlip.com/product/bl-content-protection/,Shopify,https://apps.shopify.com/bl-content-protection
"BL Content Protection for Shopify, Wix, Ecwid & Nuvemshop",https://backlip.com/product/bl-content-protection/,Wix,https://www.wix.com/app-market/web-solution/bl-content-protection
"BL Content Protection for Shopify, Wix, Ecwid & Nuvemshop",https://backlip.com/product/bl-content-protection/,Ecwid,https://www.ecwid.com/apps/featured/bl-content-protection
"BL Content Protection for Shopify, Wix, Ecwid & Nuvemshop",https://backlip.com/product/bl-content-protection/,Nuvemshop,https://www.nuvemshop.com.br/loja-aplicativos-nuvem/bl-content-protection
BL Story Highlight Menu for Shopify,https://backlip.com/product/bl-story-style-menu/,Shopify,https://apps.shopify.com/bl-story-style-menu
BL Size Chart Button for Shopify,https://backlip.com/product/bl-size-chart-button/,Shopify,https://apps.shopify.com/bl-size-chart-button
BL External Links Button for Shopify,https://backlip.com/product/bl-external-links/,Shopify,https://apps.shopify.com/bl-external-links
"BL Scrolling Announcement Bar for Shopify, Wix, Ecwid, BigCommerce & Shoper",https://backlip.com/product/bl-scrolling-announcement-bar/,Shopify,https://apps.shopify.com/bl-scrolling-announcement-bar
"BL Scrolling Announcement Bar for Shopify, Wix, Ecwid, BigCommerce & Shoper",https://backlip.com/product/bl-scrolling-announcement-bar/,Wix,https://www.wix.com/app-market/web-solution/bl-scrolling-announcement-bar
"BL Scrolling Announcement Bar for Shopify, Wix, Ecwid, BigCommerce & Shoper",https://backlip.com/product/bl-scrolling-announcement-bar/,Ecwid,https://www.ecwid.com/apps/design/bl-announcement-bar
"BL Scrolling Announcement Bar for Shopify, Wix, Ecwid, BigCommerce & Shoper",https://backlip.com/product/bl-scrolling-announcement-bar/,BigCommerce,https://www.bigcommerce.com/apps/bl-scrolling-announcement-bar/
"BL Scrolling Announcement Bar for Shopify, Wix, Ecwid, BigCommerce & Shoper",https://backlip.com/product/bl-scrolling-announcement-bar/,Shoper,https://www.shoper.pl/aplikacje/bl-scrolling-announcement-bar
